text	curie	name	scope	type	references	contributor
1,3-dimethylurate	chebi:133726	1,3-dimethylurate anion	oboInOwl:hasExactSynonym			0000-0003-4423-4370
abema	mesh:C000590451	abemaciclib	oboInOwl:hasExactSynonym			0000-0001-9439-5346
adaptor protein cbl	interpro:IPR024162	Adaptor protein Cbl	oboInOwl:hasExactSynonym			0000-0003-4423-4370
Angiotensin-2	chebi:48432	angiotensin II	oboInOwl:hasExactSynonym			0000-0003-4423-4370
ATPase	eccode:3.6.1.3	adenosinetriphosphatase	oboInOwl:hasExactSynonym			0000-0003-4423-4370
ATPase	hgnc.genegroup:412	ATPases	oboInOwl:hasExactSynonym			0000-0003-4423-4370
cell apoptosis	go:0006915	apoptotic process	oboInOwl:hasExactSynonym			0000-0003-4423-4370
chronic inflammation	symp:0020026	chronic inflammation	oboInOwl:hasExactSynonym			0000-0003-4423-4370
IFN-\\u03b3	hgnc:5438	IFNG	oboInOwl:hasExactSynonym			0000-0003-4423-4370
IFN-\u03b3	hgnc:5438	IFNG	oboInOwl:hasExactSynonym			0000-0003-4423-4370
IL-1\\u03b2	hgnc:5992	IFNG	oboInOwl:hasExactSynonym			0000-0003-4423-4370
IL-1\u03b2	hgnc:5992	IFNG	oboInOwl:hasExactSynonym			0000-0003-4423-4370
immune cells	cl:0000738	leukocyte	oboInOwl:hasExactSynonym	OMO:0003004		0000-0003-4423-4370
inflammatory responses	go:0006954	inflammatory response	oboInOwl:hasExactSynonym			0000-0003-4423-4370
neurodegeneration	hp:0002180	Neurodegeneration	oboInOwl:hasExactSynonym			0000-0003-4423-4370
neuroinflammation	hp:0033429	Neuroinflammation	oboInOwl:hasExactSynonym			0000-0003-4423-4370
NLRP3 inflammasome	complexportal:CPX-4141	NLRP3 inflammasome	oboInOwl:hasExactSynonym			0000-0003-4423-4370
phosphatidylinositol (3,4,5) P3	chebi:16618	1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate	oboInOwl:hasExactSynonym		pubmed:29695532	0000-0003-4423-4370
PI(3,4,5)P3	chebi:16618	1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate	oboInOwl:hasExactSynonym		pubmed:29623928,pubmed:20817957,pubmed:18931680,pubmed:28443090	0000-0003-4423-4370
TNF-\\u03b1	hgnc:11892	TNF	oboInOwl:hasExactSynonym			0000-0003-4423-4370
TNF-\u03b1	hgnc:11892	TNF	oboInOwl:hasExactSynonym			0000-0003-4423-4370
YAL021C	sgd:S000000019	CCR4	oboInOwl:hasExactSynonym			0000-0003-4423-4370
YDL160C	sgd:S000002319	DHH1	oboInOwl:hasExactSynonym			0000-0003-4423-4370
YGL122C	sgd:S000003090	NAB2	oboInOwl:hasExactSynonym			0000-0003-4423-4370
YNL209W	sgd:S000005153	SSB2	oboInOwl:hasExactSynonym			0000-0003-4423-4370
