Pokémon,Colonna1,Colonna2,Colonna3,Colonna4,Colonna5,Colonna6,Colonna7,Colonna8,Colonna9,Colonna10,Colonna11,Colonna12,Colonna13,Colonna14,Colonna15,Colonna16,Colonna17,Colonna18,Colonna19,Colonna20,Colonna21,Colonna22,Colonna23,Colonna24,Colonna25,Colonna26,Colonna27,Colonna28,Colonna29,Colonna30,Colonna31,Colonna32,Colonna33,Colonna34,Colonna35,Colonna36,Colonna37,Colonna38,Colonna39
Bulbasaur,Power Whip,Return,Seed Bomb,Sludge Bomb,Tackle,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivysaur,Power Whip,Razor Leaf,Return,Sludge Bomb,Solar Beam,Vine Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,Petal Blizzard,Razor Leaf,Return,Sludge Bomb,Solar Beam,Vine Whip,* Frenzy Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmander,Ember,Flame Burst,Flame Charge,Flamethrower,Return,Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmeleon,Ember,Fire Fang,Fire Punch,Flame Burst,Flamethrower,Return,**Scratch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charizard,Air Slash,Dragon Claw,Fire Blast,Fire Spin,Overheat,Return,* Blast Burn,**Ember,**Flamethrower,**Wing Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squirtle,Aqua Jet,Aqua Tail,Bubble,Return,Tackle,Water Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wartortle,Aqua Jet,Bite,Hydro Pump,Ice Beam,Return,Water Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise,Bite,Flash Cannon,Hydro Pump,Ice Beam,Return,Skull Bash,Water Gun,* Hydro Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpie,Bug Bite,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metapod,Bug Bite,Struggle,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfree,Bug Buzz,Confusion,Psychic,Signal Beam,Struggle Bug,**Bug Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weedle,Bug Bite,Poison Sting,Return,Struggle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
